Sexo;Comunidades Autónomas;Días trabajados en el domicilio particular;Periodo;Total
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2007;35
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2006;30,7
Ambos sexos;01 Andalucía;Ningún día;2021;2.330,1
Ambos sexos;01 Andalucía;Ningún día;2020;2.221,9
Ambos sexos;01 Andalucía;Ningún día;2019;2.468,6
Ambos sexos;01 Andalucía;Ningún día;2018;2.389
Ambos sexos;01 Andalucía;Ningún día;2017;2.300,1
Ambos sexos;01 Andalucía;Ningún día;2016;2.256,4
Ambos sexos;01 Andalucía;Ningún día;2015;2.177,4
Ambos sexos;01 Andalucía;Ningún día;2014;2.042,5
Ambos sexos;01 Andalucía;Ningún día;2013;1.977,6
Ambos sexos;01 Andalucía;Ningún día;2012;2.077
Ambos sexos;01 Andalucía;Ningún día;2011;2.241,3
Ambos sexos;01 Andalucía;Ningún día;2010;2.244,7
Ambos sexos;01 Andalucía;Ningún día;2009;2.301
Ambos sexos;01 Andalucía;Ningún día;2008;2.545,2
Ambos sexos;01 Andalucía;Ningún día;2007;2.537,5
Ambos sexos;01 Andalucía;Ningún día;2006;2.480,5
Ambos sexos;01 Andalucía;No sabe;2021;19,7
Ambos sexos;01 Andalucía;No sabe;2020;46,2
Ambos sexos;01 Andalucía;No sabe;2019;26,8
Ambos sexos;01 Andalucía;No sabe;2018;24,3
Ambos sexos;01 Andalucía;No sabe;2017;26,8
Ambos sexos;01 Andalucía;No sabe;2016;9,5
Ambos sexos;01 Andalucía;No sabe;2015;16,3
Ambos sexos;01 Andalucía;No sabe;2014;18,3
Ambos sexos;01 Andalucía;No sabe;2013;19,7
Ambos sexos;01 Andalucía;No sabe;2012;14,1
Ambos sexos;01 Andalucía;No sabe;2011;21
Ambos sexos;01 Andalucía;No sabe;2010;17,2
Ambos sexos;01 Andalucía;No sabe;2009;13,7
Ambos sexos;01 Andalucía;No sabe;2008;16,6
Ambos sexos;01 Andalucía;No sabe;2007;25,6
Ambos sexos;01 Andalucía;No sabe;2006;21,4
Ambos sexos;02 Aragón;Total;2021;485,6
Ambos sexos;02 Aragón;Total;2020;466,4
Ambos sexos;02 Aragón;Total;2019;497,7
Ambos sexos;02 Aragón;Total;2018;479,2
Ambos sexos;02 Aragón;Total;2017;468,4
Ambos sexos;02 Aragón;Total;2016;454,4
Ambos sexos;02 Aragón;Total;2015;444,2
Ambos sexos;02 Aragón;Total;2014;423,8
Ambos sexos;02 Aragón;Total;2013;425,8
Ambos sexos;02 Aragón;Total;2012;451,5
Ambos sexos;02 Aragón;Total;2011;443,6
Ambos sexos;02 Aragón;Total;2010;445,7
Ambos sexos;02 Aragón;Total;2009;474,7
Ambos sexos;02 Aragón;Total;2008;515,7
Ambos sexos;02 Aragón;Total;2007;514,1
Ambos sexos;02 Aragón;Total;2006;475,7
Ambos sexos;02 Aragón;Ocasionalmente;2021;21,9
Ambos sexos;02 Aragón;Ocasionalmente;2020;13,4
Ambos sexos;02 Aragón;Ocasionalmente;2019;13
Ambos sexos;02 Aragón;Ocasionalmente;2018;6,6
Ambos sexos;02 Aragón;Ocasionalmente;2017;8,5
Ambos sexos;02 Aragón;Ocasionalmente;2016;7,5
Ambos sexos;02 Aragón;Ocasionalmente;2015;7,1
Ambos sexos;02 Aragón;Ocasionalmente;2014;7,7
Ambos sexos;02 Aragón;Ocasionalmente;2013;7,3
Ambos sexos;02 Aragón;Ocasionalmente;2012;7,5
Ambos sexos;02 Aragón;Ocasionalmente;2011;3,8
Ambos sexos;02 Aragón;Ocasionalmente;2010;5,3
Ambos sexos;02 Aragón;Ocasionalmente;2009;6,2
Ambos sexos;02 Aragón;Ocasionalmente;2008;4,6
Ambos sexos;02 Aragón;Ocasionalmente;2007;7,6
Ambos sexos;02 Aragón;Ocasionalmente;2006;1,7
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2021;26,2
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2020;34,9
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2019;15,2
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2018;12,4
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2017;9
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2016;7,4
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2015;9,7
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2014;9,1
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2013;14,3
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2012;11,7
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2011;12,1
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2010;9,9
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2009;10,5
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2008;6
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2007;8,3
Ambos sexos;02 Aragón;Más de la mitad de los días que trabajó;2006;5
Ambos sexos;02 Aragón;Ningún día;2021;433,4
Ambos sexos;02 Aragón;Ningún día;2020;413,5
Ambos sexos;02 Aragón;Ningún día;2019;465
Ambos sexos;02 Aragón;Ningún día;2018;454,8
Ambos sexos;02 Aragón;Ningún día;2017;444,1
Ambos sexos;02 Aragón;Ningún día;2016;436,1
Ambos sexos;02 Aragón;Ningún día;2015;420,7
Ambos sexos;02 Aragón;Ningún día;2014;403,8
Ambos sexos;02 Aragón;Ningún día;2013;401,1
Ambos sexos;02 Aragón;Ningún día;2012;428,7
Ambos sexos;02 Aragón;Ningún día;2011;422,6
Ambos sexos;02 Aragón;Ningún día;2010;426,5
Ambos sexos;02 Aragón;Ningún día;2009;455,3
Ambos sexos;02 Aragón;Ningún día;2008;503,4
Ambos sexos;02 Aragón;Ningún día;2007;496,9
Ambos sexos;02 Aragón;Ningún día;2006;464,3
Ambos sexos;02 Aragón;No sabe;2021;4
Ambos sexos;02 Aragón;No sabe;2020;4,6
Ambos sexos;02 Aragón;No sabe;2019;4,6
Ambos sexos;02 Aragón;No sabe;2018;5,4
Ambos sexos;02 Aragón;No sabe;2017;6,8
Ambos sexos;02 Aragón;No sabe;2016;3,4
Ambos sexos;02 Aragón;No sabe;2015;6,8
Ambos sexos;02 Aragón;No sabe;2014;3,3
Ambos sexos;02 Aragón;No sabe;2013;3,1
Ambos sexos;02 Aragón;No sabe;2012;3,6
Ambos sexos;02 Aragón;No sabe;2011;5,1
Ambos sexos;02 Aragón;No sabe;2010;4,1
Ambos sexos;02 Aragón;No sabe;2009;2,7
Ambos sexos;02 Aragón;No sabe;2008;1,7
Ambos sexos;02 Aragón;No sabe;2007;1,3
Ambos sexos;02 Aragón;No sabe;2006;4,7
Ambos sexos;03 Asturias, Principado de;Total;2021;325,2
Ambos sexos;03 Asturias, Principado de;Total;2020;316,1
Ambos sexos;03 Asturias, Principado de;Total;2019;311,4
Ambos sexos;03 Asturias, Principado de;Total;2018;324,5
Ambos sexos;03 Asturias, Principado de;Total;2017;319,4
Ambos sexos;03 Asturias, Principado de;Total;2016;312,8
Ambos sexos;03 Asturias, Principado de;Total;2015;304,3
Ambos sexos;03 Asturias, Principado de;Total;2014;297,6
Ambos sexos;03 Asturias, Principado de;Total;2013;294,5
Ambos sexos;03 Asturias, Principado de;Total;2012;312,5
Ambos sexos;03 Asturias, Principado de;Total;2011;330
Ambos sexos;03 Asturias, Principado de;Total;2010;328,3
Ambos sexos;03 Asturias, Principado de;Total;2009;346,1
Ambos sexos;03 Asturias, Principado de;Total;2008;361,3
Ambos sexos;03 Asturias, Principado de;Total;2007;334,3
Ambos sexos;03 Asturias, Principado de;Total;2006;340,6
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2021;13,1
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2020;10,2
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2019;5,2
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2018;6,6
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2017;4,5
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2016;3,8
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2015;2,9
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2014;2,4
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2013;5
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2012;5
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2011;3,5
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2010;3,3
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2009;3
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2008;4,6
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2007;2,1
Ambos sexos;03 Asturias, Principado de;Ocasionalmente;2006;2
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2021;24,4
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2020;41,7
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2019;13,3
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2018;4
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2017;6,1
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2016;5,4
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2015;8,7
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2014;6
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2013;6
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2012;6,6
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2011;7,8
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2010;5,1
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2009;5,7
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2008;4
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2007;5
Ambos sexos;03 Asturias, Principado de;Más de la mitad de los días que trabajó;2006;2
Ambos sexos;03 Asturias, Principado de;Ningún día;2021;286,1
Ambos sexos;03 Asturias, Principado de;Ningún día;2020;262
Ambos sexos;03 Asturias, Principado de;Ningún día;2019;289,6
Ambos sexos;03 Asturias, Principado de;Ningún día;2018;312,2
Ambos sexos;03 Asturias, Principado de;Ningún día;2017;305,5
Ambos sexos;03 Asturias, Principado de;Ningún día;2016;301,2
Ambos sexos;03 Asturias, Principado de;Ningún día;2015;289,7
Ambos sexos;03 Asturias, Principado de;Ningún día;2014;285,6
Ambos sexos;03 Asturias, Principado de;Ningún día;2013;280,5
Ambos sexos;03 Asturias, Principado de;Ningún día;2012;299,3
Ambos sexos;03 Asturias, Principado de;Ningún día;2011;317,9
Ambos sexos;03 Asturias, Principado de;Ningún día;2010;318,9
Ambos sexos;03 Asturias, Principado de;Ningún día;2009;337,1
Ambos sexos;03 Asturias, Principado de;Ningún día;2008;349,6
Ambos sexos;03 Asturias, Principado de;Ningún día;2007;325,1
Ambos sexos;03 Asturias, Principado de;Ningún día;2006;333,6
Ambos sexos;03 Asturias, Principado de;No sabe;2021;1,6
Ambos sexos;03 Asturias, Principado de;No sabe;2020;2,2
Ambos sexos;03 Asturias, Principado de;No sabe;2019;3,3
Ambos sexos;03 Asturias, Principado de;No sabe;2018;1,8
Ambos sexos;03 Asturias, Principado de;No sabe;2017;3,3
Ambos sexos;03 Asturias, Principado de;No sabe;2016;2,4
Ambos sexos;03 Asturias, Principado de;No sabe;2015;3,1
Ambos sexos;03 Asturias, Principado de;No sabe;2014;3,6
Ambos sexos;03 Asturias, Principado de;No sabe;2013;3
Ambos sexos;03 Asturias, Principado de;No sabe;2012;1,6
Ambos sexos;03 Asturias, Principado de;No sabe;2011;0,8
Ambos sexos;03 Asturias, Principado de;No sabe;2010;0,9
Ambos sexos;03 Asturias, Principado de;No sabe;2009;0,4
Ambos sexos;03 Asturias, Principado de;No sabe;2008;3
Ambos sexos;03 Asturias, Principado de;No sabe;2007;2,2
Ambos sexos;03 Asturias, Principado de;No sabe;2006;3
Ambos sexos;04 Balears, Illes;Total;2021;439,3
Ambos sexos;04 Balears, Illes;Total;2020;429,2
Ambos sexos;04 Balears, Illes;Total;2019;454,5
Ambos sexos;04 Balears, Illes;Total;2018;455,7
Ambos sexos;04 Balears, Illes;Total;2017;426,1
Ambos sexos;04 Balears, Illes;Total;2016;420,5
Ambos sexos;04 Balears, Illes;Total;2015;400,4
Ambos sexos;04 Balears, Illes;Total;2014;388,3
Ambos sexos;04 Balears, Illes;Total;2013;383,7
Ambos sexos;04 Balears, Illes;Total;2012;371,2
Ambos sexos;04 Balears, Illes;Total;2011;383,7
Ambos sexos;04 Balears, Illes;Total;2010;396,9
Ambos sexos;04 Balears, Illes;Total;2009;390,5
Ambos sexos;04 Balears, Illes;Total;2008;424,6
Ambos sexos;04 Balears, Illes;Total;2007;410
Ambos sexos;04 Balears, Illes;Total;2006;401,4
Ambos sexos;04 Balears, Illes;Ocasionalmente;2021;16,1
Ambos sexos;04 Balears, Illes;Ocasionalmente;2020;7,3
Ambos sexos;04 Balears, Illes;Ocasionalmente;2019;9,7
Ambos sexos;04 Balears, Illes;Ocasionalmente;2018;5
Ambos sexos;04 Balears, Illes;Ocasionalmente;2017;4,8
Ambos sexos;04 Balears, Illes;Ocasionalmente;2016;0,6
Ambos sexos;04 Balears, Illes;Ocasionalmente;2015;2,6
Ambos sexos;04 Balears, Illes;Ocasionalmente;2014;2
Ambos sexos;04 Balears, Illes;Ocasionalmente;2013;2,7
Ambos sexos;04 Balears, Illes;Ocasionalmente;2012;2,8
Ambos sexos;04 Balears, Illes;Ocasionalmente;2011;2,6
Ambos sexos;04 Balears, Illes;Ocasionalmente;2010;2,8
Ambos sexos;04 Balears, Illes;Ocasionalmente;2009;2,2
Ambos sexos;04 Balears, Illes;Ocasionalmente;2008;2,2
Ambos sexos;04 Balears, Illes;Ocasionalmente;2007;3,3
Ambos sexos;04 Balears, Illes;Ocasionalmente;2006;2,2
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2021;20,7
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2020;30
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2019;12
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2018;8,6
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2017;2,6
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2016;2,6
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2015;0,8
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2014;6,3
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2013;9,2
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2012;6,9
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2011;7,4
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2010;4,9
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2009;3,9
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2008;4,1
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2007;5,7
Ambos sexos;04 Balears, Illes;Más de la mitad de los días que trabajó;2006;5,7
Ambos sexos;04 Balears, Illes;Ningún día;2021;401,1
Ambos sexos;04 Balears, Illes;Ningún día;2020;385,2
Ambos sexos;04 Balears, Illes;Ningún día;2019;424,4
Ambos sexos;04 Balears, Illes;Ningún día;2018;437,8
Ambos sexos;04 Balears, Illes;Ningún día;2017;417,2
Ambos sexos;04 Balears, Illes;Ningún día;2016;413,8
Ambos sexos;04 Balears, Illes;Ningún día;2015;397
Ambos sexos;04 Balears, Illes;Ningún día;2014;379,1
Ambos sexos;04 Balears, Illes;Ningún día;2013;366,1
Ambos sexos;04 Balears, Illes;Ningún día;2012;359,6
Ambos sexos;04 Balears, Illes;Ningún día;2011;372,5
Ambos sexos;04 Balears, Illes;Ningún día;2010;388,1
Ambos sexos;04 Balears, Illes;Ningún día;2009;383,7
Ambos sexos;04 Balears, Illes;Ningún día;2008;414,7
Ambos sexos;04 Balears, Illes;Ningún día;2007;400,8
Ambos sexos;04 Balears, Illes;Ningún día;2006;391,4
Ambos sexos;04 Balears, Illes;No sabe;2021;1,4
Ambos sexos;04 Balears, Illes;No sabe;2020;6,7
Ambos sexos;04 Balears, Illes;No sabe;2019;8,5
Ambos sexos;04 Balears, Illes;No sabe;2018;4,3
Ambos sexos;04 Balears, Illes;No sabe;2017;1,5
Ambos sexos;04 Balears, Illes;No sabe;2016;3,6
Ambos sexos;04 Balears, Illes;No sabe;2015;..
Ambos sexos;04 Balears, Illes;No sabe;2014;0,8
Ambos sexos;04 Balears, Illes;No sabe;2013;5,7
Ambos sexos;04 Balears, Illes;No sabe;2012;1,9
Ambos sexos;04 Balears, Illes;No sabe;2011;1,2
Ambos sexos;04 Balears, Illes;No sabe;2010;1,1
Ambos sexos;04 Balears, Illes;No sabe;2009;0,7
Ambos sexos;04 Balears, Illes;No sabe;2008;3,5
Ambos sexos;04 Balears, Illes;No sabe;2007;0,3
Ambos sexos;04 Balears, Illes;No sabe;2006;2,2
Ambos sexos;05 Canarias;Total;2021;734,5
Ambos sexos;05 Canarias;Total;2020;732,4
Ambos sexos;05 Canarias;Total;2019;784,3
Ambos sexos;05 Canarias;Total;2018;782,3
Ambos sexos;05 Canarias;Total;2017;742,4
Ambos sexos;05 Canarias;Total;2016;699
Ambos sexos;05 Canarias;Total;2015;655,8
Ambos sexos;05 Canarias;Total;2014;637,8
Ambos sexos;05 Canarias;Total;2013;606,6
Ambos sexos;05 Canarias;Total;2012;630,8
Ambos sexos;05 Canarias;Total;2011;655,5
Ambos sexos;05 Canarias;Total;2010;625,3
Ambos sexos;05 Canarias;Total;2009;673,6
Ambos sexos;05 Canarias;Total;2008;723,2
Ambos sexos;05 Canarias;Total;2007;756,2
Ambos sexos;05 Canarias;Total;2006;727,3
Ambos sexos;05 Canarias;Ocasionalmente;2021;26,5
Ambos sexos;05 Canarias;Ocasionalmente;2020;17,3
Ambos sexos;05 Canarias;Ocasionalmente;2019;6,2
Ambos sexos;05 Canarias;Ocasionalmente;2018;6
Ambos sexos;05 Canarias;Ocasionalmente;2017;11,5
Ambos sexos;05 Canarias;Ocasionalmente;2016;3,6
Ambos sexos;05 Canarias;Ocasionalmente;2015;5,5
Ambos sexos;05 Canarias;Ocasionalmente;2014;4,2
Ambos sexos;05 Canarias;Ocasionalmente;2013;9,4
Ambos sexos;05 Canarias;Ocasionalmente;2012;4,8
Ambos sexos;05 Canarias;Ocasionalmente;2011;2
Ambos sexos;05 Canarias;Ocasionalmente;2010;5,5
Ambos sexos;05 Canarias;Ocasionalmente;2009;9,5
Ambos sexos;05 Canarias;Ocasionalmente;2008;5,4
Ambos sexos;05 Canarias;Ocasionalmente;2007;6,7
Ambos sexos;05 Canarias;Ocasionalmente;2006;4,7
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2021;34,3
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2020;27,8
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2019;17,5
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2018;11,9
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2017;12,7
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2016;10,9
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2015;9,6
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2014;16,6
Ambos sexos;05 Canarias;Más de la mitad de los días que trabajó;2013;9,4
